concept,text,pleasant,attention,sensitivity,aptitude,polarity
carbonate_drink,carbonate drink,0.032,-0.022,-0.045,-0.087,-0.026
carbonated_drink,carbonated drink,0.281,0.203,-0.079,0.184,0.196
carbonation,carbonation,0.789,-0.925,0,0.964,0.893
carboxylic_acid,carboxylic acid,-0.652,0,0.935,-0.968,-0.852
carcinomatous_myopathy,carcinomatous myopathy,-0.531,0,0.737,-0.995,-0.754
card,card,0.034,-0.103,-0.08,0.06,0.039
card_case,card case,0.029,-0.033,0.066,-0.086,-0.03
card_deck,card deck,0,0.133,0,0,0.044
card_game,card game,-0.035,0.085,-0.077,0.114,0.029
card_type,card type,0.07,0,0,0.086,0.052
cardboard_box,cardboard box,0,-0.023,0,0.051,0.025
cardiac_arrhythmia,cardiac arrhythmia,-0.839,0,0.667,-0.717,-0.741
cardiac_drug,cardiac drug,-0.957,0,0.475,-0.917,-0.783
cardinal,cardinal,0.029,0.147,0.031,0.102,0.082
cardiomyopathy,cardiomyopathy,0.852,-0.988,0,0.67,0.837
cardiopathy,cardiopathy,0.852,-0.988,0,0.67,0.837
cardiovascular_disease,cardiovascular disease,-0.641,0,0.739,-0.953,-0.778
carditis,carditis,-0.548,0,0.67,-0.926,-0.715
care,care,0.784,0,0,0,0.261
care_child,care child,0.909,0,0,0.859,0.589
care_deeply,care deeply,0.049,0.201,-0.24,0.174,0.061
care_giver,care giver,0.033,0.175,-0.162,0.121,0.056
care_patient,care patient,-0.031,0.159,-0.172,0.156,0.037
care_person,care person,0.751,0,0,0.857,0.536
career,career,-0.023,0.148,-0.081,0.092,0.045
career_advancement,career advancement,0.882,0.768,0,0,0.55
carefree,carefree,0.69,0.626,-0.234,0.317,0.466
carefreeness,carefreeness,0.69,0.626,-0.234,0.317,0.466
careful,careful,0.095,0.204,-0.123,0.174,0.117
careful_plan,careful plan,-0.046,0.188,0,0,0.047
carefulness,carefulness,0.512,-0.945,0,0.5,0.652
careless,careless,0,0,0.775,-0.831,-0.535
carelessness,carelessness,-0.933,0,0.689,-0.851,-0.824
caress,caress,0.032,0,0,0.077,0.036
caribou,caribou,0,0.161,-0.089,0.09,0.054
caring,caring,0.528,0.673,-0.275,0.272,0.399
cark,cark,-0.592,0,0.827,-0.6,-0.673
carnage,carnage,-0.793,0,0.624,-0.614,-0.677
carnality,carnality,0.509,-0.863,0,0.691,0.688
carnauba,carnauba,0.557,-0.534,0,0.704,0.598
carnauba_palm,carnauba palm,0.557,-0.534,0,0.704,0.598
carnival,carnival,0.957,0.7,0,0,0.552
carnival_mask,carnival mask,0.108,-0.044,0.043,0.065,0.058
carnival_ride,carnival ride,0.086,-0.035,0,0,0.04
carnivore,carnivore,-0.025,0,0.044,0,-0.023
carny,carny,0.082,-0.031,0,0,0.038
carpal,carpal,-0.744,0,0.598,-0.756,-0.699
carpal_bone,carpal bone,-0.66,0,0.947,-0.74,-0.782
carpal_tunnel_syndrome,carpal tunnel syndrome,-0.413,0,-0.284,-0.058,-0.252
carpel,carpel,0.12,0,0.022,0,0.033
carpenter,carpenter,-0.043,-0.02,-0.056,0,-0.026
carpet,carpet,0,0.143,-0.063,0.059,0.046
carpet_slipper,carpet slipper,-0.541,0,0.612,-0.987,-0.713
carpet_store,carpet store,-0.075,0.228,0.019,0.089,0.074
carrier,carrier,0,0.089,0.01,0.118,0.066
carron_oil,carron oil,-0.644,0,0.941,-0.923,-0.836
carrot_juice,carrot juice,0.087,-0.015,0.021,0,0.027
carry,carry,-0.03,0.178,-0.127,0.279,0.1
carry_around,carry around,0,0.13,-0.058,0.184,0.085
carry_baby,carry baby,0.108,-0.044,0.043,0.065,0.058
carry_belongings,carry belongings,0,0.148,-0.093,0.282,0.112
carry_blood,carry blood,0,0.1,-0.064,0.171,0.069
carry_book,carry book,-0.041,0.149,-0.092,0.236,0.084
carry_briefcase,carry briefcase,-0.122,0.083,-0.066,-0.033,-0.046
carry_clothes,carry clothes,0,0.108,-0.055,0.209,0.087
carry_credit_card,carry credit card,-0.047,0,0.03,0,-0.026
carry_disease,carry disease,-0.116,0,0.03,-0.075,-0.074
carry_document,carry document,0.023,0.085,0,0.061,0.056
carry_food,carry food,0,-0.174,0,0.244,0.139
carry_goods,carry goods,-0.043,0.066,0,0.149,0.057
carry_grocery,carry grocery,-0.04,0.166,-0.108,0.207,0.075
carry_gun,carry gun,-0.047,0,-0.08,-0.123,-0.083
carry_hand,carry hand,-0.025,0,0,0.158,0.044
carry_heavy_load,carry heavy load,-0.146,0,-0.076,0,-0.074
carry_home,carry home,-0.133,0.157,-0.113,0,-0.03
carry_item,carry item,-0.023,0.107,-0.079,0.287,0.097
carry_laundry,carry laundry,-0.023,0.139,-0.086,0.24,0.09
carry_liquid,carry liquid,-0.035,0.146,-0.087,0.208,0.077
carry_luggage,carry luggage,-0.033,-0.078,0.033,-0.103,-0.03
carry_lunch,carry lunch,0.063,-0.406,0.026,0.348,0.264
carry_money,carry money,0,0.147,0,0.099,0.082
carry_object,carry object,0,0.145,-0.094,0.259,0.103
carry_off,carry off,0.701,-0.563,0,0.921,0.728
carry_on,carry on,-0.815,0,0.964,-0.621,-0.8
carry_out,carry out,-0.025,0.087,0,0.107,0.056
carry_paper,carry paper,0.025,0.083,0,0.06,0.056
carry_person,carry person,0,0,0,0.077,0.026
carry_stuff,carry stuff,-0.048,0.133,-0.071,0.218,0.077
carry_suitcase,carry suitcase,0,0.113,-0.071,0.069,0.037
carry_through,carry through,-0.65,0,0.589,-0.62,-0.62
carry_umbrella,carry umbrella,-0.023,-0.024,0.076,-0.054,-0.043
carry_vessel,carry vessel,0,0,0.075,0,-0.025
carry_wallet,carry wallet,-0.062,0,0.018,0,-0.027
carry_water,carry water,0.025,-0.06,-0.056,0.161,0.063
carry_weight,carry weight,0.933,-0.836,0,0.826,0.865
carte_blanche,carte blanche,0.742,-0.927,0,0.564,0.744
cartel,cartel,0.776,-0.86,0,0.893,0.843
cartilage,cartilage,-0.825,0,0.597,-0.883,-0.768
cartilaginous_tube,cartilaginous tube,-0.902,0,0.781,-0.672,-0.785
carton,carton,0.035,-0.015,0.009,0.063,0.035
carton_milk,carton milk,0.176,0,0.064,0,0.037
cartoon,cartoon,0.789,-0.518,0,0.947,0.751
cartoon_character,cartoon character,-0.073,0,0,-0.074,-0.049
carve,carve,0.045,0,0,0.051,0.032
carve_niche,carve niche,0,0,0,-0.092,-0.031
carving,carving,0.969,-0.686,0,0.756,0.804
cascade_effect,cascade effect,0,0.266,-0.283,0.349,0.111
case,case,0.658,-0.749,0,0.782,0.73
case_beer,case beer,0.161,-0.146,0.031,-0.104,0.057
case_build,case build,-0.145,0,-0.067,0,-0.071
case_house,case house,-0.084,0,0,0,-0.028
case_joint,case joint,-0.158,0.074,-0.083,0,-0.056
cash,cash,-0.05,0.14,0.015,0.082,0.052
cash_bill,cash bill,0,0.151,0.032,0,0.04
cash_check,cash check,0,0.224,-0.047,0.098,0.092
cash_coin,cash coin,0,0.147,0.039,0,0.036
cash_drawer,cash drawer,0.021,0.139,0,0,0.053
cash_in_hand,cash in hand,0.534,-0.868,0,0.736,0.713
cash_pay,cash pay,-0.14,0.238,-0.071,0.082,0.036
cash_register,cash register,0.05,0.139,0.037,0,0.051
cashier,cashier,0.038,0.155,0,0.074,0.089
cashless,cashless,-0.052,0.17,0,0.091,0.07
casket,casket,-0.06,0.118,-0.144,-0.09,-0.059
casque,casque,-0.595,0,0.887,-0.715,-0.732
casserole,casserole,0.041,-0.045,0,0,0.029
cassette,cassette,0,0,0.049,0.128,0.026
cassia_bark,cassia bark,-0.958,0,0.892,-0.777,-0.876
cassock,cassock,0.849,-0.503,0,0.845,0.732
cast,cast,0,0,0,0.068,0.023
cast_down,cast down,-0.81,0.239,-0.443,-0.064,-0.359
cast_iron,cast iron,0.706,-0.941,0,0.622,0.756
cast_shadow,cast shadow,-0.08,0,0,0,-0.027
caste,caste,0.025,0.176,-0.065,0.114,0.083
casteless,casteless,-0.828,0,0.85,-0.709,-0.796
castigate,castigate,-0.816,0,0.967,-0.961,-0.915
castigation,castigation,-0.898,0,0.974,-0.984,-0.952
castle,castle,0.021,0.119,0,0.129,0.09
castor,castor,-0.027,-0.051,-0.058,-0.055,-0.03
castrate,castrate,-0.785,0,0.91,-0.917,-0.871
castrated,castrated,0.945,-0.861,0,0.802,0.869
casual,casual,-0.155,0,0.028,0,-0.061
casual_shoes,casual shoes,-0.056,0.068,0,0.102,0.038
casualty,casualty,-0.16,0,-0.184,-0.239,-0.194
casuistry,casuistry,-0.69,0,0.697,-0.609,-0.665
casus_belli,casus belli,0.836,-0.832,0,0.511,0.726
cat,cat,0.028,0,0.013,0.061,0.025
cat_fancier,cat fancier,-0.615,0,0.606,-0.539,-0.587
cat_food,cat food,0.076,0,0,0,0.025
cat_hair,cat hair,0,-0.084,0.125,-0.11,-0.05
cat_purr,cat purr,0.244,-0.012,-0.165,0.12,0.07
cat_thyme,cat thyme,-0.565,0,0.91,-0.809,-0.761
cataclysm,cataclysm,-0.968,0,0.501,-0.596,-0.688
cataleptic,cataleptic,-0.606,0,0.892,-0.921,-0.806
catalyst,catalyst,-0.04,0.202,-0.169,0.153,0.049
catastrophe,catastrophe,-0.158,-0.01,-0.073,-0.215,-0.145
catcall,catcall,-0.698,0,0.792,-0.984,-0.825
catch,catch,0.378,0.388,-0.219,0.203,0.25
catch_ball,catch ball,0.885,0,0,0,0.295
catch_baseball,catch baseball,0,-0.05,0.066,-0.134,-0.05
catch_bass,catch bass,0,-0.049,0.041,-0.114,-0.035
catch_breath,catch breath,0,-0.052,0.027,0.05,0.025
catch_bus,catch bus,-0.108,0,0,-0.067,-0.058
catch_butterfly,catch butterfly,-0.068,0,-0.051,0,-0.04
catch_catfish,catch catfish,0.043,-0.079,0.068,-0.157,-0.034
catch_cold,catch cold,-0.1,0,-0.072,-0.096,-0.089
catch_fire,catch fire,0,0,-0.066,-0.059,-0.042
catch_fish,catch fish,0.059,0,0,0.049,0.036
catch_fly,catch fly,0.042,0.088,0,0,0.043
catch_fly_ball,catch fly ball,0,-0.161,0.091,-0.239,-0.056
catch_football,catch football,-0.023,0.117,-0.082,0.18,0.064
catch_mouse,catch mouse,0.059,0,0,0.049,0.036
catch_mumps,catch mumps,0,0,-0.106,0,-0.035
catch_out,catch out,-0.779,0,0.816,-0.85,-0.815
catch_rain,catch rain,0.072,0.071,0,0.053,0.065
catch_shark,catch shark,0.055,-0.024,0.048,-0.149,-0.039
catch_some_z,catch some z,-0.621,0,0.944,-0.729,-0.765
catch_train,catch train,0.194,0.118,0,0.216,0.176
catch_trout,catch trout,0.094,-0.036,0.028,0,0.034
catch_up,catch up,0.094,-0.036,0.028,0,0.034
catch_up_news,catch up news,0.823,0.812,0,0,0.545
catch_wind,catch wind,0,-0.018,0.088,0,-0.023
catching,catching,0.774,-0.634,0,0.567,0.658
catechesis,catechesis,0.548,-0.982,0,0.769,0.766
catechism,catechism,-0.587,0,0.701,-0.979,-0.756
catecholamine,catecholamine,0.672,-0.552,0,0.992,0.739
categoric,categoric,-0.669,0,0.721,-0.539,-0.643
categorical,categorical,-0.669,0,0.721,-0.539,-0.643
category,category,0,0.108,0,0.113,0.074
cater,cater,0.877,-0.766,0,0.996,0.88
caterpillar,caterpillar,0,-0.071,0.093,-0.054,-0.025
catharsis,catharsis,-0.057,-0.139,0,-0.246,-0.055
cathartic,cathartic,0.722,-0.606,0,0.596,0.641
cathedral,cathedral,0.971,0,0,0.752,0.574
catholic,catholic,0,0.25,0,0.283,0.178
catholic_church,catholic church,0,0.221,0.037,0.227,0.137
catholicon,catholicon,-0.552,0,0.5,-0.554,-0.535
catling,catling,0.932,-0.521,0,0.534,0.662
catnap,catnap,-0.621,0,0.944,-0.729,-0.765
cattail,cattail,0.656,-0.632,0,0.844,0.711
cattiness,cattiness,-0.945,0,0.897,-0.932,-0.925
cattish,cattish,-0.887,0,0.864,-0.725,-0.825
catty,catty,-0.887,0,0.864,-0.725,-0.825
catwalk,catwalk,0.096,-0.017,0,0,0.038
caucasian,caucasian,-0.934,0,0.77,-0.792,-0.832
cauliflower,cauliflower,0,0.073,-0.093,-0.087,-0.036
causa,causa,0.658,-0.749,0,0.782,0.73
causation,causation,-0.997,0,0.651,-0.513,-0.72
causative,causative,0.59,-0.599,0,0.527,0.572
cause,cause,-0.083,0.21,-0.247,0.241,0.04
cause_accident,cause accident,-0.121,0,-0.066,-0.033,-0.073
cause_allergy,cause allergy,-0.943,0,0.891,-0.939,-0.924
cause_bleed,cause bleed,-0.137,-0.025,-0.059,-0.154,-0.108
cause_bleeding,cause bleeding,-0.917,0,0.513,-0.932,-0.787
cause_cancer,cause cancer,-0.137,-0.025,-0.059,-0.154,-0.108
cause_change,cause change,0,0.266,-0.283,0.349,0.111
cause_cold,cause cold,0,0,0,-0.966,-0.322
cause_death,cause death,-0.17,0,-0.184,-0.188,-0.181
cause_dehydration,cause dehydration,-0.048,-0.076,0,-0.15,-0.041
cause_effect,cause effect,-0.084,-0.219,-0.235,0,-0.033
cause_fire,cause fire,-0.048,-0.076,0,-0.15,-0.041
cause_headache,cause headache,0,0.099,-0.052,0.113,0.053
cause_heart_disease,cause heart disease,0,-0.909,0.98,-0.83,-0.3
cause_illness,cause illness,-0.129,-0.029,-0.09,-0.14,-0.11
cause_injury,cause injury,0,0,0.783,-0.86,-0.548
cause_mental_illness,cause mental illness,-0.029,0,-0.063,0,-0.031
cause_pain,cause pain,-0.216,-0.165,-0.143,-0.209,-0.134
cause_problem,cause problem,-0.347,0.102,-0.362,0,-0.202
cause_sickness,cause sickness,-0.174,0,-0.102,-0.127,-0.134
cause_side_effect,cause side effect,0,-0.062,0.009,-0.176,-0.041
cause_someone_embarrassment,cause someone embarrassment,-0.928,0,0.016,-0.912,-0.619
cause_someone_to_die,cause someone to die,-0.239,-0.012,-0.158,-0.261,-0.215
cause_stress,cause stress,-0.676,0.233,-0.463,0.222,-0.228
cause_strong_pain,cause strong pain,-0.917,0,0.513,-0.932,-0.787
cause_suffer,cause suffer,0,0,0.754,-0.787,-0.514
cause_to_be_perceived,cause to be perceived,0.84,-0.836,0,0.528,0.735
causing,causing,-0.944,0,0.709,-0.979,-0.877
caution,caution,-0.325,0.133,-0.389,0,-0.194
cavalier,cavalier,-0.91,0,0.521,-0.811,-0.747
cave,cave,-0.025,0,0,-0.052,-0.026
caveat_emptor,caveat emptor,0.841,-0.657,0,0.645,0.714
cavern,cavern,-0.036,0.078,-0.118,0,-0.025
cavernous,cavernous,-0.986,0,0.702,-0.704,-0.797
cavernous_sinus,cavernous sinus,-0.911,0,0.658,-0.509,-0.693
caviar,caviar,0.061,0.07,-0.056,0.073,0.049
caviare,caviare,-0.527,0,0.748,-0.926,-0.734
cavity,cavity,-0.053,0.068,-0.105,-0.084,-0.058
cavum,cavum,0.718,-0.882,0,0.83,0.81
cctv,cctv,-0.032,-0.012,-0.11,-0.031,-0.054
cd-rom,cd-rom,0,0.091,0,0,0.03
cease,cease,-0.914,0,0.576,-0.956,-0.815
cease_fire,cease fire,0.299,0.299,-0.157,0.233,0.225
cedar,cedar,0.048,-0.097,0,0.086,0.077
cedar_nut,cedar nut,-0.594,0,0.945,-0.854,-0.798
ceiling,ceiling,0,0.128,-0.122,0.183,0.063
ceiling_fan,ceiling fan,0.063,0,0,0.05,0.038
celebrate,celebrate,0.719,0,0,0,0.24
celebrate_anniversary,celebrate anniversary,0.859,0,0,0,0.286
celebrate_birthday,celebrate birthday,0.812,0,0,0,0.271
celebrate_event,celebrate event,0.799,0,0,0,0.266
celebrate_holiday,celebrate holiday,0.172,-0.204,0.015,-0.148,0.071
celebrate_occasion,celebrate occasion,0.7,0,0,0,0.233
celebrate_special_occasion,celebrate special occasion,0.93,0.724,0,0,0.551
celebrate_special_occcasion,celebrate special occcasion,0.78,0.739,0,0.798,0.772
celebrate_specific_group_dead,celebrate specific group dead,0,0,0,-0.966,-0.322
celebrate_wed,celebrate wed,0.833,0,0,0.727,0.52
celebrate_wedding,celebrate wedding,0.7,0,0,0,0.233
celebration,celebration,0.816,0,0,0,0.272
celebrity,celebrity,0,0,0,0.993,0.331
celerity,celerity,0.548,-0.622,0,0.695,0.622
celery,celery,-0.05,-0.039,0.023,-0.095,-0.043
celestial_body,celestial body,0.029,0,0.034,0.097,0.031
celestial_object,celestial object,0.029,0,0.034,0.097,0.031
celibate,celibate,0.839,-0.704,0,0.93,0.824
cell,cell,0.026,0.069,0,0,0.032
cellphone,cellphone,0.035,-0.01,0.027,0.085,0.034
cellular_phone,cellular phone,0,-0.122,0.011,0.089,0.067
cellulose,cellulose,-0.039,-0.031,0.026,-0.068,-0.034
cellulose_acetate,cellulose acetate,-0.608,0,0.546,-0.948,-0.701
cellulose_ester,cellulose ester,-0.608,0,0.546,-0.948,-0.701
cellulose_nitrate,cellulose nitrate,-0.886,0,0.87,-0.761,-0.839
celsius,celsius,0,0.155,0,0,0.052
cembra_nut,cembra nut,-0.594,0,0.945,-0.854,-0.798
cement,cement,0,0.127,-0.046,0.194,0.092
cemetery,cemetery,0,0.178,-0.054,0,0.041
cenogenesis,cenogenesis,-0.902,0,0.774,-0.627,-0.768
censorship,censorship,0,0,0.977,-0.798,-0.592
census,census,0.039,0,0,0.053,0.031
cent,cent,0,0.148,0.065,0,0.028
centaury,centaury,-0.902,0,0.726,-0.534,-0.721
centenarian,centenarian,0.556,-0.641,0,0.64,0.612
centennial,centennial,0.042,-0.069,0,-0.037,0.025
center,center,0.043,0.14,0.01,0.245,0.139
center_attention,center attention,0.181,0.074,-0.077,-0.05,0.043
center_passage,center passage,0.076,0.094,-0.062,0,0.036
centerfold,centerfold,0.029,-0.005,-0.11,0,-0.025
centering,centering,0.633,-0.968,0,0.612,0.738
centimetre,centimetre,0,0.082,0.076,0.111,0.039
central,central,0.035,0.065,0.025,0.127,0.067
central_passage,central passage,0,0,0,0.128,0.043
centre,centre,0.095,0.125,0.017,0.204,0.136
century,century,0.978,-0.601,0,0.895,0.825
ceo,ceo,0.046,0.116,-0.058,0.076,0.06
cephalaspid,cephalaspid,-0.758,0,0.76,-0.812,-0.777
cephalitis,cephalitis,-0.552,0,0.757,-0.528,-0.612
cephalopod,cephalopod,0.847,-0.789,0,0.922,0.853
cephalopod_mollusk,cephalopod mollusk,0.894,-0.606,0,0.71,0.737
ceramics,ceramics,0.528,-0.606,0,0.724,0.619
cereal,cereal,0,0.083,0,0,0.028
cereal_bowl,cereal bowl,0,0,0,0.128,0.043
cereal_crop,cereal crop,0,0.082,0.052,0.08,0.037
cereal_grain,cereal grain,0.061,0.093,0.037,0.114,0.077
cerebral_aneurysm,cerebral aneurysm,-0.641,0,0.739,-0.953,-0.778
cerebral_peduncle,cerebral peduncle,-0.735,0,0.897,-0.774,-0.802
cerebration,cerebration,0.621,-0.604,0,0.53,0.585
cerebrospinal_fever,cerebrospinal fever,-0.773,0,0.871,-0.64,-0.761
cerebrospinal_meningitis,cerebrospinal meningitis,-0.773,0,0.871,-0.64,-0.761
ceremony,ceremony,0.092,0.089,-0.128,0.177,0.077
certain,certain,0,0,0,0.884,0.295
certainty,certainty,0,0.793,0,0,0.264
certificate,certificate,0,0.155,0,0,0.052
certificate_of_incorporation,certificate of incorporation,0.931,-0.526,0,0.67,0.709
certification,certification,-0.024,0.102,0,0.07,0.049
certificatory,certificatory,0.9,-0.742,0,0.721,0.788
cerussite,cerussite,0.555,-0.994,0,0.851,0.8
cestode,cestode,0.574,-0.956,0,0.798,0.776
chachka,chachka,-0.744,0,0.877,-0.975,-0.865
chafe,chafe,-0.141,0.098,0.662,-0.656,-0.454
chaff,chaff,0.699,0.62,-0.23,0.323,0.471
chagrin,chagrin,-0.512,0.393,-0.236,-0.152,-0.169
chagrined,chagrined,-0.52,0.392,-0.24,-0.153,-0.174
chain,chain,0.096,-0.017,0,0,0.038
chain_up,chain up,0.624,-0.65,0,0.521,0.598
chainsaw,chainsaw,0,-0.042,0.022,-0.174,-0.051
chair,chair,0.034,-0.054,0.04,-0.123,-0.025
chair_committee,chair committee,-0.145,0.068,-0.06,-0.054,-0.064
chair_meet,chair meet,-0.12,0.111,-0.065,0,-0.025
chairman,chairman,0.027,0.074,0,0.087,0.063
chairperson,chairperson,-0.029,0,0,-0.079,-0.036
chalcid,chalcid,-0.897,0,0.908,-0.672,-0.826
chalcid_fly,chalcid fly,-0.794,0,0.697,-0.666,-0.719
chalcid_wasp,chalcid wasp,-0.742,0,0.96,-0.574,-0.759
chalcidfly,chalcidfly,-0.671,0,0.937,-0.675,-0.761
chalcis_fly,chalcis fly,-0.897,0,0.908,-0.672,-0.826
chalk_board,chalk board,0,-0.013,0.027,-0.1,-0.038
chalk_dust,chalk dust,-0.955,0,0.738,-0.584,-0.759
challenge,challenge,0.104,-0.068,0.057,0,0.038
challenge_oneself,challenge oneself,0.112,0.178,-0.055,0.143,0.126
challengeable,challengeable,0.544,-0.693,0,0.658,0.632
challenger,challenger,0.85,-0.894,0,0.634,0.793
chamber,chamber,-0.589,0,0.509,-0.836,-0.645
chamber_music,chamber music,0.681,-0.572,0,0.632,0.628
chambered_nautilus,chambered nautilus,0.847,-0.789,0,0.922,0.853
chambermaid,chambermaid,-0.626,0,0.649,-0.673,-0.649
chameleon,chameleon,0.63,-0.889,0,0.503,0.674
champagne,champagne,0.153,-0.058,0,0,0.07
champion,champion,0,0,0,0.834,0.278
champion_lode,champion lode,0.614,-0.956,0,0.584,0.718
championship,championship,0,0,0,0.879,0.293
chance,chance,0.042,0.099,-0.221,0.24,0.053
chance_event,chance event,-0.912,0,0.769,-0.841,-0.841
change,change,-0.034,0.212,0,0.093,0.09
change_appearance,change appearance,0,-0.053,0.016,0.053,0.03
change_attitude,change attitude,-0.026,-0.025,-0.081,-0.046,-0.043
change_behavior,change behavior,-0.125,0.245,-0.226,0.188,0.027
change_channel,change channel,0,-0.162,0.054,-0.309,-0.067
change_clothes,change clothes,0.928,0.778,0,0,0.569
change_color,change color,0,0.073,0,0.056,0.043
change_diaper,change diaper,0.036,0.142,-0.098,0.071,0.05
change_direction,change direction,0,0.114,-0.051,0.207,0.09
change_gear,change gear,0,0,0,0.093,0.031
change_government,change government,-0.101,0.199,0,0.08,0.059
change_hair,change hair,0.05,-0.029,0,0.111,0.063
change_hair_style,change hair style,0.065,0,0.01,0.049,0.035
change_hairstyle,change hairstyle,-0.058,0,0.028,0,-0.029
change_idea,change idea,-0.045,0.343,-0.052,0.179,0.142
change_job,change job,0.928,0.778,0,0,0.569
change_law,change law,-0.045,0.343,-0.052,0.179,0.142
change_life,change life,-0.108,0.068,-0.129,-0.116,-0.095
change_lifestyle,change lifestyle,-0.13,0.098,-0.154,0,-0.062
change_location,change location,0,0,0,0.19,0.063
change_mind,change mind,0,-0.854,0,0,0.285
change_money,change money,0,0.144,-0.091,0.196,0.083
change_mood,change mood,0.328,-0.084,0.015,-0.168,0.076
change_of_color,change of color,0.995,-0.533,0,0.977,0.835
change_of_shape,change of shape,0.592,-0.913,0,0.61,0.705
change_of_state,change of state,0.588,-0.759,0,0.574,0.64
change_opinion,change opinion,-0.066,-0.11,0.058,-0.304,-0.106
change_plan,change plan,-0.2,-0.226,-0.181,-0.029,-0.061
change_position,change position,-0.069,0.154,-0.058,0.192,0.073
change_quickly,change quickly,0,-0.289,-0.114,0.258,0.144
change_shape,change shape,0.24,0.289,-0.118,0.328,0.246
change_society,change society,-0.032,-0.049,0,0.06,0.026
change_someone_greatly,change someone greatly,0.959,0,0,0.933,0.631
change_state,change state,-0.608,0,0.541,-0.525,-0.558
change_style,change style,0,0.088,-0.08,0.085,0.031
change_taste,change taste,-0.707,0,0.518,-0.514,-0.58
change_tire,change tire,-0.1,0,-0.11,0,-0.07
change_work,change work,0.928,0.778,0,0,0.569
change_world,change world,0,0.871,0,0.982,0.618
changeability,changeability,0.772,-0.731,0,0.958,0.82
changeable,changeable,0.027,0,0.099,0,-0.024
changeableness,changeableness,0.729,-0.538,0,0.612,0.626
changed,changed,0.78,-0.799,0,0.954,0.844
changeful,changeful,0.896,-0.663,0,0.667,0.742
changefulness,changefulness,0.772,-0.731,0,0.958,0.82
changeless,changeless,-0.905,0,0.653,-0.998,-0.852
changelessness,changelessness,0.949,-0.552,0,0.595,0.699
changing,changing,0.74,-0.755,0,0.815,0.77
changing_room,changing room,0,0.144,-0.091,0.196,0.083
channel_selector,channel selector,0.02,-0.026,0,0.061,0.036
channel_surf,channel surf,0,-0.178,0.095,-0.319,-0.079
chant,chant,0.083,0.239,-0.111,0.271,0.161
chaos,chaos,-0.441,-0.138,-0.08,-0.407,-0.263
chap,chap,0.055,0.189,-0.097,0.113,0.087
chapeau,chapeau,-0.588,0,0.632,-0.638,-0.619
chapel,chapel,0,0.236,0.026,0.212,0.141
chapter,chapter,0.074,0.114,0,0.126,0.105
char,char,-0.043,0,-0.114,-0.036,-0.064
character,character,-0.829,0,0.958,-0.557,-0.781
character_assassination,character assassination,-0.926,0,0.755,-0.784,-0.822
character_play,character play,0,-0.297,-0.182,0.147,0.087
character_trait,character trait,0.136,0.293,-0.119,0.371,0.227
characteristic,characteristic,0.055,0.247,-0.122,0.347,0.176
characterize,characterize,-0.931,0,0.778,-0.93,-0.88
charade,charade,0,0.107,-0.139,0.164,0.044
charcoal,charcoal,0.037,0.084,0,0,0.04
charge,charge,0.172,0.399,-0.209,0.227,0.196
charge_battery,charge battery,0.086,-0.17,0.135,-0.208,-0.029
charge_card,charge card,-0.028,-0.022,0.05,-0.032,-0.029
charge_credit_card,charge credit card,-0.108,0.127,-0.1,0,-0.027
charge_money,charge money,-0.054,0.207,0,0.126,0.093
charge_up,charge up,-0.623,0,0.806,-0.538,-0.656
charged,charged,0.626,-0.603,0,0.769,0.666
charisma,charisma,0.148,0.171,-0.112,0.18,0.129
charitable,charitable,0.552,0.681,-0.294,0.297,0.412
charity,charity,0,0,0,0.939,0.313
charlatan,charlatan,0.969,-0.885,0,0.736,0.863
charlatanism,charlatanism,0.847,-0.721,0,0.927,0.832
charm,charm,0,0,0,0.751,0.25
charmed,charmed,0.601,0.647,-0.266,0.322,0.435
charmer,charmer,0.85,-0.716,0,0.617,0.728
charmy,charmy,0,0,0,0.751,0.25
charr,charr,-0.861,0,0.941,-0.713,-0.838
chart,chart,0.094,0.091,0,0.125,0.103
chase,chase,0,0,0,-0.079,-0.026
chase_away,chase away,0.705,-0.552,0,0.684,0.647
chase_ball,chase ball,-0.092,-0.043,0.081,-0.065,-0.065
chase_dog,chase dog,-0.05,-0.025,0,-0.07,-0.032
chassis,chassis,0,-0.01,0,0.069,0.026
chaste,chaste,0.839,-0.704,0,0.93,0.824
chasten,chasten,-0.722,0,0.737,-0.603,-0.687
chastening,chastening,-0.619,0,0.719,-0.718,-0.685
chat,chat,-0.515,0,0.545,-0.911,-0.657
chat_friend,chat friend,0,-0.13,0.057,0,0.024
chatspeak,chatspeak,-0.043,-0.021,0.041,-0.039,-0.034
chatter_tooth,chatter tooth,0.034,-0.12,0,-0.075,0.026
chatty,chatty,0.949,-0.694,0,0.992,0.878
chauffeur,chauffeur,0.066,0,-0.059,0.066,0.024
chauvinism,chauvinism,-0.684,0,0.949,-0.63,-0.754
chauvinistic,chauvinistic,0.585,-0.7,0,0.586,0.624
cheap,cheap,-0.047,0.201,-0.063,0.312,0.134
cheap_buy,cheap buy,-0.033,0.292,-0.096,0.35,0.171
cheap_camera,cheap camera,-0.914,0,-0.728,-0.99,-0.877
cheap_food,cheap food,0.043,0,0.041,0.086,0.029
cheap_hotel,cheap hotel,-0.983,0,0.058,-0.921,-0.654
cheap_price,cheap price,-0.036,0.273,-0.046,0.244,0.145
cheap_restaurant,cheap restaurant,-0.983,0,0.058,-0.921,-0.654
